"age_group"	"sex"	"exposure"	"imd"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Women	Current	1	2	1	19	4	15	       0.1667527	      -4.1158005	      -3.9608300	       0.3877023	      -4.0557181
All	Women	Current	1	3	2	19	6	13	       0.1458779	      -3.9396014	      -3.6296604	       0.5765209	      -3.7609139
All	Women	Current	1	4	3	19	8	11	       0.1447683	      -3.6372959	      -3.1723845	       0.5765209	      -3.3692648
All	Women	Current	2	1	0	19	2	17	       0.2645574	      -3.9641951	      -3.9641951	       0.0000000	      -3.9641951
All	Women	Current	2	2	1	19	4	15	       0.1420424	      -4.2761870	      -4.1212166	       0.4630943	      -4.2044211
All	Women	Current	2	3	2	19	6	13	       0.1251725	      -4.0926790	      -3.7827380	       0.8408514	      -3.8320647
All	Women	Current	2	4	3	19	8	11	       0.1022911	      -3.9846079	      -3.5196965	       0.8408514	      -3.5936865
All	Women	Current	3	1	0	19	2	17	       0.1885991	      -4.3026295	      -4.3026295	       0.0000000	      -4.3026295
All	Women	Current	3	2	1	19	4	15	       0.1512151	      -4.2136088	      -4.0586383	       0.1982193	      -4.1828906
All	Women	Current	3	3	2	19	6	13	       0.1372337	      -4.0006858	      -3.6907449	       0.4004112	      -3.8765820
All	Women	Current	3	4	3	19	8	11	       0.1202827	      -3.8225859	      -3.3576744	       0.5277875	      -3.5772114
All	Women	Current	4	1	0	19	2	17	       0.0905004	      -5.0368988	      -5.0368988	       0.0000000	      -5.0368988
All	Women	Current	4	2	1	19	4	15	       0.0613746	      -5.1153162	      -4.9603457	       0.3218307	      -5.0654419
All	Women	Current	4	3	2	19	6	13	       0.0562802	      -4.8920292	      -4.5820882	       0.2876260	      -4.8028821
All	Women	Current	4	4	3	19	8	11	       0.0523362	      -4.6547416	      -4.1898302	       0.6114170	      -4.3704868
All	Women	Current	5	1	0	19	2	17	       0.2310743	      -4.0995142	      -4.0995142	       0.0000000	      -4.0995142
All	Women	Current	5	2	1	19	4	15	       0.0962241	      -4.6656326	      -4.5106622	       0.5835794	      -4.5751951
All	Women	Current	5	3	2	19	6	13	       0.0841978	      -4.4892025	      -4.1792615	       0.4829392	      -4.3395198
All	Women	Current	5	4	3	19	8	11	       0.0777865	      -4.2584628	      -3.7935513	       0.4829392	      -4.0339388
All	Men	Healthy Weight	1	1	0	19	2	17	       0.2060242	      -4.2142597	      -4.2142597	       0.0000000	      -4.2142597
All	Men	Healthy Weight	1	2	1	19	4	15	       0.0953722	      -4.6745250	      -4.5195546	       0.5370824	      -4.5912931
All	Men	Healthy Weight	1	3	2	19	6	13	       0.0895094	      -4.4280283	      -4.1180873	       0.6792279	      -4.2175077
All	Men	Healthy Weight	1	4	3	19	8	11	       0.0830499	      -4.1929891	      -3.7280777	       0.7175567	      -3.8593888
All	Men	Healthy Weight	2	1	0	19	2	17	       0.2500066	      -4.0207658	      -4.0207658	       0.0000000	      -4.0207658
All	Men	Healthy Weight	2	2	1	19	4	15	       0.1633853	      -4.1362011	      -3.9812306	       0.3464761	      -4.0825075
All	Men	Healthy Weight	2	3	2	19	6	13	       0.1480124	      -3.9250751	      -3.6151341	       0.7382183	      -3.6962710
All	Men	Healthy Weight	2	4	3	19	8	11	       0.1376423	      -3.6877719	      -3.2228605	       0.7506673	      -3.3387781
All	Men	Healthy Weight	3	1	0	19	2	17	       0.1323651	      -4.6566894	      -4.6566894	       0.0000000	      -4.6566894
All	Men	Healthy Weight	3	2	1	19	4	15	       0.1233732	      -4.4170985	      -4.2621280	       0.0679324	      -4.4065709
All	Men	Healthy Weight	3	3	2	19	6	13	       0.0895326	      -4.4277690	      -4.1178281	       0.5521188	      -4.2566448
All	Men	Healthy Weight	3	4	3	19	8	11	       0.0470325	      -4.7615906	      -4.2966792	       0.6679082	      -4.4510725
All	Men	Healthy Weight	4	1	0	19	2	17	       0.1339705	      -4.6446333	      -4.6446333	       0.0000000	      -4.6446333
All	Men	Healthy Weight	4	2	1	19	4	15	       0.1252085	      -4.4023324	      -4.2473619	       0.0654031	      -4.3921969
All	Men	Healthy Weight	4	3	2	19	6	13	       0.1201142	      -4.1339282	      -3.8239873	       0.2641295	      -4.0520637
All	Men	Healthy Weight	4	4	3	19	8	11	       0.1151158	      -3.8664921	      -3.4015807	       0.6051521	      -3.5851500
All	Men	Healthy Weight	5	1	0	19	2	17	       0.4397382	      -3.4560738	      -3.4560738	       0.0000000	      -3.4560738
All	Men	Healthy Weight	5	2	1	19	4	15	       0.2193647	      -3.8415769	      -3.6866064	       0.5011471	      -3.7639139
All	Men	Healthy Weight	5	3	2	19	6	13	       0.1780023	      -3.7405747	      -3.4306338	       0.6684047	      -3.5334087
All	Men	Healthy Weight	5	4	3	19	8	11	       0.1654532	      -3.5037419	      -3.0388304	       0.7344398	      -3.1622924
All	Women	Healthy Weight	1	1	0	19	2	17	       0.1414587	      -4.5902452	      -4.5902452	       0.0000000	      -4.5902452
All	Women	Healthy Weight	1	2	1	19	4	15	       0.0675423	      -5.0195588	      -4.8645884	       0.5225303	      -4.9385821
All	Women	Healthy Weight	1	3	2	19	6	13	       0.0621817	      -4.7923109	      -4.4823699	       0.4757454	      -4.6448579
All	Women	Healthy Weight	1	4	3	19	8	11	       0.0484663	      -4.7315617	      -4.2666503	       0.7303994	      -4.3919907
All	Women	Healthy Weight	2	1	0	19	2	17	       0.2071112	      -4.2089976	      -4.2089976	       0.0000000	      -4.2089976
All	Women	Healthy Weight	2	2	1	19	4	15	       0.0578945	      -5.1736896	      -5.0187191	       0.7204664	      -5.0620386
All	Women	Healthy Weight	2	3	2	19	6	13	       0.0548884	      -4.9170687	      -4.6071278	       0.6768828	      -4.7072750
All	Women	Healthy Weight	2	4	3	19	8	11	       0.0523506	      -4.6544680	      -4.1895566	       0.6811808	      -4.3377793
All	Women	Healthy Weight	3	1	0	19	2	17	       0.0864088	      -5.0831640	      -5.0831640	       0.0000000	      -5.0831640
All	Women	Healthy Weight	3	2	1	19	4	15	       0.0629756	      -5.0895642	      -4.9345938	       0.2711892	      -5.0475379
All	Women	Healthy Weight	3	3	2	19	6	13	       0.0573707	      -4.8728385	      -4.5628976	       0.8302790	      -4.6155011
All	Women	Healthy Weight	3	4	3	19	8	11	       0.0473272	      -4.7553447	      -4.2904332	       0.8302790	      -4.3693385
All	Women	Healthy Weight	4	1	0	19	2	17	       0.1765094	      -4.3688789	      -4.3688789	       0.0000000	      -4.3688789
All	Women	Healthy Weight	4	2	1	19	4	15	       0.1160873	      -4.4779700	      -4.3229995	       0.3423168	      -4.4249210
All	Women	Healthy Weight	4	3	2	19	6	13	       0.1037555	      -4.2803346	      -3.9703937	       0.4537303	      -4.1397050
All	Women	Healthy Weight	4	4	3	19	8	11	       0.0667338	      -4.4117191	      -3.9468077	       0.6660397	      -4.1020697
All	Women	Healthy Weight	5	1	0	19	2	17	       0.3263391	      -3.7543164	      -3.7543164	       0.0000000	      -3.7543164
All	Women	Healthy Weight	5	2	1	19	4	15	       0.1129299	      -4.5055455	      -4.3505751	       0.6539493	      -4.4042027
All	Women	Healthy Weight	5	3	2	19	6	13	       0.1084408	      -4.2361672	      -3.9262263	       0.6450861	      -4.0362286
All	Women	Healthy Weight	5	4	3	19	8	11	       0.0993074	      -4.0142109	      -3.5492994	       0.6450861	      -3.7143030
All	Men	Heavy Drinker	1	1	0	9	2	7	       0.1473025	      -3.6242191	      -3.6242191	       0.0000000	      -3.6242191
All	Men	Heavy Drinker	1	2	1	9	4	5	       0.1214874	      -3.3286253	      -3.0844893	       0.1752528	      -3.2858398
All	Men	Heavy Drinker	2	1	0	9	2	7	       0.0611230	      -4.5038196	      -4.5038196	       0.0000000	      -4.5038196
All	Men	Heavy Drinker	2	2	1	9	4	5	       0.0113087	      -5.7028660	      -5.4587300	       0.8149849	      -5.5038988
All	Men	Heavy Drinker	3	1	0	9	2	7	       0.1385084	      -3.6857764	      -3.6857764	       0.0000000	      -3.6857764
All	Men	Heavy Drinker	3	2	1	9	4	5	       0.1176186	      -3.3609882	      -3.1168521	       0.1508198	      -3.3241676
All	Men	Heavy Drinker	4	1	0	9	2	7	       0.1652608	      -3.5091830	      -3.5091830	       0.0000000	      -3.5091830
All	Men	Heavy Drinker	4	2	1	9	4	5	       0.1593445	      -3.0573672	      -2.8132311	       0.0357998	      -3.0486271
All	Men	Heavy Drinker	5	1	0	9	2	7	       0.3158674	      -2.8613853	      -2.8613853	       0.0000000	      -2.8613853
All	Men	Heavy Drinker	5	2	1	9	4	5	       0.2765346	      -2.5060996	      -2.2619635	       0.1245230	      -2.4756990
All	Women	Heavy Drinker	1	1	0	9	2	7	       0.5632076	      -2.2830593	      -2.2830593	       0.0000000	      -2.2830593
All	Women	Heavy Drinker	1	2	1	9	4	5	       0.1210446	      -3.3322762	      -3.0881401	       0.7850799	      -3.1406099
All	Women	Heavy Drinker	2	1	0	9	2	7	       0.6577555	      -2.1278744	      -2.1278744	       0.0000000	      -2.1278744
All	Women	Heavy Drinker	2	2	1	9	4	5	       0.4392044	      -2.0434708	      -1.7993347	       0.3322681	      -1.9623521
All	Women	Heavy Drinker	3	1	0	9	2	7	       0.5013627	      -2.3993779	      -2.3993779	       0.0000000	      -2.3993779
All	Women	Heavy Drinker	3	2	1	9	4	5	       0.4269829	      -2.0716917	      -1.8275556	       0.1483553	      -2.0354728
All	Women	Heavy Drinker	4	1	0	9	2	7	       0.6233097	      -2.1816642	      -2.1816642	       0.0000000	      -2.1816642
All	Women	Heavy Drinker	4	2	1	9	4	5	       0.4890179	      -1.9360365	      -1.6919004	       0.2154495	      -1.8834375
All	Women	Heavy Drinker	5	1	0	9	2	7	       0.5916622	      -2.2337719	      -2.2337719	       0.0000000	      -2.2337719
All	Women	Heavy Drinker	5	2	1	9	4	5	       0.3566378	      -2.2517149	      -2.0075788	       0.3972273	      -2.1547374
All	Men	Light Drinker	1	1	0	9	2	7	       0.0336857	      -5.0996341	      -5.0996341	       0.0000000	      -5.0996341
All	Men	Light Drinker	1	2	1	9	4	5	       0.0222278	      -5.0270906	      -4.7829545	       0.3401406	      -4.9440500
All	Men	Light Drinker	2	1	0	9	2	7	       0.0678923	      -4.3987848	      -4.3987848	       0.0000000	      -4.3987848
All	Men	Light Drinker	2	2	1	9	4	5	       0.0635116	      -3.9772133	      -3.7330773	       0.0645248	      -3.9614605
All	Men	Light Drinker	3	1	0	9	2	7	       0.0246608	      -5.4114928	      -5.4114928	       0.0000000	      -5.4114928
All	Men	Light Drinker	3	2	1	9	4	5	       0.0221588	      -5.0302016	      -4.7860656	       0.1014572	      -5.0054323
All	Men	Light Drinker	4	1	0	9	2	7	       0.0109461	      -6.2237279	      -6.2237279	       0.0000000	      -6.2237279
All	Men	Light Drinker	4	2	1	9	4	5	       0.0085753	      -5.9795481	      -5.7354120	       0.2165846	      -5.9266720
All	Men	Light Drinker	5	1	0	9	2	7	       0.0390279	      -4.9524315	      -4.9524315	       0.0000000	      -4.9524315
All	Men	Light Drinker	5	2	1	9	4	5	       0.0297093	      -4.7369742	      -4.4928381	       0.2387662	      -4.6786827
All	Women	Light Drinker	1	1	0	9	2	7	       0.0065495	      -6.7373214	      -6.7373214	       0.0000000	      -6.7373214
All	Women	Light Drinker	1	2	1	9	4	5	       0.0054789	      -6.4275377	      -6.1834017	       0.1634663	      -6.3876297
All	Women	Light Drinker	2	1	0	9	2	7	       0.0187737	      -5.6842499	      -5.6842499	       0.0000000	      -5.6842499
All	Women	Light Drinker	2	2	1	9	4	5	       0.0116808	      -5.6704880	      -5.4263519	       0.3778102	      -5.5782509
All	Women	Light Drinker	3	1	0	9	2	7	       0.0198189	      -5.6300720	      -5.6300720	       0.0000000	      -5.6300720
All	Women	Light Drinker	3	2	1	9	4	5	       0.0195280	      -5.1565863	      -4.9124502	       0.0146776	      -5.1530030
All	Women	Light Drinker	4	1	0	9	2	7	       0.0145329	      -5.9402920	      -5.9402920	       0.0000000	      -5.9402920
All	Women	Light Drinker	4	2	1	9	4	5	       0.0118962	      -5.6522194	      -5.4080833	       0.1814325	      -5.6079252
All	Women	Light Drinker	5	1	0	9	2	7	       0.0155917	      -5.8699683	      -5.8699683	       0.0000000	      -5.8699683
All	Women	Light Drinker	5	2	1	9	4	5	       0.0060352	      -6.3308297	      -6.0866937	       0.6129236	      -6.1811930
All	Men	Meets Recommendations	1	1	0	5	2	3	       0.0119236	      -5.3949015	      -5.3949015	       0.0000000	      -5.3949015
All	Men	Meets Recommendations	2	1	0	5	2	3	       0.0158745	      -5.1087031	      -5.1087031	       0.0000000	      -5.1087031
All	Men	Meets Recommendations	3	1	0	5	2	3	       0.0178100	      -4.9936563	      -4.9936563	       0.0000000	      -4.9936563
All	Men	Meets Recommendations	4	1	0	5	2	3	       0.0187761	      -4.9408314	      -4.9408314	       0.0000000	      -4.9408314
All	Men	Meets Recommendations	5	1	0	5	2	3	       0.0260212	      -4.6145074	      -4.6145074	       0.0000000	      -4.6145074
All	Women	Meets Recommendations	1	1	0	5	2	3	       0.0087805	      -5.7008827	      -5.7008827	       0.0000000	      -5.7008827
All	Women	Meets Recommendations	2	1	0	5	2	3	       0.0308500	      -4.4442812	      -4.4442812	       0.0000000	      -4.4442812
All	Women	Meets Recommendations	3	1	0	5	2	3	       0.0376720	      -4.2445013	      -4.2445013	       0.0000000	      -4.2445013
All	Women	Meets Recommendations	4	1	0	5	2	3	       0.0244880	      -4.6752335	      -4.6752335	       0.0000000	      -4.6752335
All	Women	Meets Recommendations	5	1	0	5	2	3	       0.0364669	      -4.2770119	      -4.2770119	       0.0000000	      -4.2770119
All	Men	Moderate Drinker	1	1	0	9	2	7	       0.0486006	      -4.7330714	      -4.7330714	       0.0000000	      -4.7330714
All	Men	Moderate Drinker	1	2	1	9	4	5	       0.0417582	      -4.3965386	      -4.1524025	       0.1407878	      -4.3621672
All	Men	Moderate Drinker	2	1	0	9	2	7	       0.0329768	      -5.1209028	      -5.1209028	       0.0000000	      -5.1209028
All	Men	Moderate Drinker	2	2	1	9	4	5	       0.0210308	      -5.0824480	      -4.8383119	       0.3622553	      -4.9940084
All	Men	Moderate Drinker	3	1	0	9	2	7	       0.0137013	      -5.9992195	      -5.9992195	       0.0000000	      -5.9992195
All	Men	Moderate Drinker	3	2	1	9	4	5	       0.0126498	      -5.5907917	      -5.3466556	       0.0767399	      -5.5720567
All	Men	Moderate Drinker	4	1	0	9	2	7	       0.0366120	      -5.0163318	      -5.0163318	       0.0000000	      -5.0163318
All	Men	Moderate Drinker	4	2	1	9	4	5	       0.0326878	      -4.6414347	      -4.3972987	       0.1071842	      -4.6152672
All	Men	Moderate Drinker	5	1	0	9	2	7	       0.0473890	      -4.7583174	      -4.7583174	       0.0000000	      -4.7583174
All	Men	Moderate Drinker	5	2	1	9	4	5	       0.0445686	      -4.3314059	      -4.0872699	       0.0595160	      -4.3168759
All	Women	Moderate Drinker	1	1	0	9	2	7	       0.0538737	      -4.6300657	      -4.6300657	       0.0000000	      -4.6300657
All	Women	Moderate Drinker	1	2	1	9	4	5	       0.0325461	      -4.6457788	      -4.4016428	       0.3958816	      -4.5491298
All	Women	Moderate Drinker	2	1	0	9	2	7	       0.0814692	      -4.2164826	      -4.2164826	       0.0000000	      -4.2164826
All	Women	Moderate Drinker	2	2	1	9	4	5	       0.0195318	      -5.1563892	      -4.9122532	       0.7602548	      -4.9707836
All	Women	Moderate Drinker	3	1	0	9	2	7	       0.0479799	      -4.7459264	      -4.7459264	       0.0000000	      -4.7459264
All	Women	Moderate Drinker	3	2	1	9	4	5	       0.0371663	      -4.5130334	      -4.2688973	       0.2253772	      -4.4580106
All	Women	Moderate Drinker	4	1	0	9	2	7	       0.1171200	      -3.8535089	      -3.8535089	       0.0000000	      -3.8535089
All	Women	Moderate Drinker	4	2	1	9	4	5	       0.1049754	      -3.4747099	      -3.2305738	       0.1036937	      -3.4493945
All	Women	Moderate Drinker	5	1	0	9	2	7	       0.1084200	      -3.9306950	      -3.9306950	       0.0000000	      -3.9306950
All	Women	Moderate Drinker	5	2	1	9	4	5	       0.1003784	      -3.5194890	      -3.2753529	       0.0741713	      -3.5013811
All	Men	Never	1	1	0	19	2	17	       0.2175427	      -4.1598581	      -4.1598581	       0.0000000	      -4.1598581
All	Men	Never	1	2	1	19	4	15	       0.0629529	      -5.0899251	      -4.9349546	       0.7106181	      -4.9798002
All	Men	Never	1	3	2	19	6	13	       0.0499978	      -5.0103928	      -4.7004519	       0.6840690	      -4.7983719
All	Men	Never	1	4	3	19	8	11	       0.0496727	      -4.7069749	      -4.2420635	       0.8164116	      -4.3274158
All	Men	Never	2	1	0	19	2	17	       0.2199983	      -4.1486334	      -4.1486334	       0.0000000	      -4.1486334
All	Men	Never	2	2	1	19	4	15	       0.0784875	      -4.8693733	      -4.7144029	       0.6432360	      -4.7696908
All	Men	Never	2	3	2	19	6	13	       0.0587632	      -4.8488555	      -4.5389145	       0.9357150	      -4.5588391
All	Men	Never	2	4	3	19	8	11	       0.0534494	      -4.6336960	      -4.1687846	       0.9357150	      -4.1986714
All	Men	Never	3	1	0	19	2	17	       0.0590072	      -5.4645941	      -5.4645941	       0.0000000	      -5.4645941
All	Men	Never	3	2	1	19	4	15	       0.0547875	      -5.2288500	      -5.0738795	       0.0715111	      -5.2177679
All	Men	Never	3	3	2	19	6	13	       0.0406573	      -5.2171921	      -4.9072511	       0.6246082	      -5.0236004
All	Men	Never	3	4	3	19	8	11	       0.0307285	      -5.1872394	      -4.7223280	       0.5839616	      -4.9157490
All	Men	Never	4	1	0	19	2	17	       0.0885476	      -5.0587134	      -5.0587134	       0.0000000	      -5.0587134
All	Men	Never	4	2	1	19	4	15	       0.0454972	      -5.4146616	      -5.2596911	       0.4861835	      -5.3393175
All	Men	Never	4	3	2	19	6	13	       0.0389069	      -5.2611990	      -4.9512581	       0.3326747	      -5.1580895
All	Men	Never	4	4	3	19	8	11	       0.0354385	      -5.0446303	      -4.5797189	       0.3652364	      -4.8748278
All	Men	Never	5	1	0	19	2	17	       0.3378562	      -3.7196329	      -3.7196329	       0.0000000	      -3.7196329
All	Men	Never	5	2	1	19	4	15	       0.1002114	      -4.6250309	      -4.4700604	       0.7033905	      -4.5160261
All	Men	Never	5	3	2	19	6	13	       0.0989906	      -4.3273464	      -4.0174054	       0.7346118	      -4.0996601
All	Men	Never	5	4	3	19	8	11	       0.0955897	      -4.0523656	      -3.5874542	       0.7346118	      -3.7108362
All	Women	Never	1	1	0	19	2	17	       0.1750059	      -4.3774335	      -4.3774335	       0.0000000	      -4.3774335
All	Women	Never	1	2	1	19	4	15	       0.0560541	      -5.2059942	      -5.0510237	       0.6797014	      -5.1006605
All	Women	Never	1	3	2	19	6	13	       0.0513869	      -4.9829878	      -4.6730468	       0.6517524	      -4.7809830
All	Women	Never	1	4	3	19	8	11	       0.0439837	      -4.8286117	      -4.3637003	       0.7869185	      -4.4627643
All	Women	Never	2	1	0	19	2	17	       0.2037959	      -4.2251343	      -4.2251343	       0.0000000	      -4.2251343
All	Women	Never	2	2	1	19	4	15	       0.0293460	      -5.8531574	      -5.6981869	       0.8560032	      -5.7205022
All	Women	Never	2	3	2	19	6	13	       0.0264802	      -5.6459723	      -5.3360313	       0.8174126	      -5.3926227
All	Women	Never	2	4	3	19	8	11	       0.0243241	      -5.4209634	      -4.9560520	       0.8174126	      -5.0409390
All	Women	Never	3	1	0	19	2	17	       0.0704091	      -5.2879306	      -5.2879306	       0.0000000	      -5.2879306
All	Women	Never	3	2	1	19	4	15	       0.0645582	      -5.0647452	      -4.9097747	       0.0830988	      -5.0518674
All	Women	Never	3	3	2	19	6	13	       0.0589517	      -4.8456536	      -4.5357126	       0.7609663	      -4.6097990
All	Women	Never	3	4	3	19	8	11	       0.0486097	      -4.7286082	      -4.2636968	       0.8307718	      -4.3423729
All	Women	Never	4	1	0	19	2	17	       0.0853886	      -5.0950410	      -5.0950410	       0.0000000	      -5.0950410
All	Women	Never	4	2	1	19	4	15	       0.0516636	      -5.2875594	      -5.1325889	       0.3949591	      -5.2263524
All	Women	Never	4	3	2	19	6	13	       0.0476258	      -5.0589961	      -4.7490552	       0.8449899	      -4.7970992
All	Women	Never	4	4	3	19	8	11	       0.0426275	      -4.8599308	      -4.3950194	       0.8449899	      -4.4670854
All	Women	Never	5	1	0	19	2	17	       0.4058125	      -3.5363622	      -3.5363622	       0.0000000	      -3.5363622
All	Women	Never	5	2	1	19	4	15	       0.1015177	      -4.6120795	      -4.4571090	       0.7498409	      -4.4958763
All	Women	Never	5	3	2	19	6	13	       0.1001028	      -4.3161741	      -4.0062332	       0.7292466	      -4.0901508
All	Women	Never	5	4	3	19	8	11	       0.0938747	      -4.0704693	      -3.6055579	       0.7795244	      -3.7080595
All	Men	Non-Drinker	1	1	0	9	2	7	       0.0879132	      -4.1403574	      -4.1403574	       0.0000000	      -4.1403574
All	Men	Non-Drinker	1	2	1	9	4	5	       0.0821573	      -3.7197999	      -3.4756638	       0.0654728	      -3.7038156
All	Men	Non-Drinker	2	1	0	9	2	7	       0.0934158	      -4.0796478	      -4.0796478	       0.0000000	      -4.0796478
All	Men	Non-Drinker	2	2	1	9	4	5	       0.0794067	      -3.7538530	      -3.5097170	       0.1499647	      -3.7172412
All	Men	Non-Drinker	3	1	0	9	2	7	       0.0345363	      -5.0746958	      -5.0746958	       0.0000000	      -5.0746958
All	Men	Non-Drinker	3	2	1	9	4	5	       0.0255819	      -4.8865523	      -4.6424163	       0.2592770	      -4.8232535
All	Men	Non-Drinker	4	1	0	9	2	7	       0.1066764	      -3.9469078	      -3.9469078	       0.0000000	      -3.9469078
All	Men	Non-Drinker	4	2	1	9	4	5	       0.1025624	      -3.4979641	      -3.2538281	       0.0385651	      -3.4885490
All	Men	Non-Drinker	5	1	0	9	2	7	       0.1244512	      -3.7927943	      -3.7927943	       0.0000000	      -3.7927943
All	Men	Non-Drinker	5	2	1	9	4	5	       0.1146337	      -3.3866938	      -3.1425577	       0.0788861	      -3.3674348
All	Women	Non-Drinker	1	1	0	9	2	7	       0.0864373	      -4.1572879	      -4.1572879	       0.0000000	      -4.1572879
All	Women	Non-Drinker	1	2	1	9	4	5	       0.0843148	      -3.6938785	      -3.4497424	       0.0245562	      -3.6878834
All	Women	Non-Drinker	2	1	0	9	2	7	       0.1100710	      -3.9155823	      -3.9155823	       0.0000000	      -3.9155823
All	Women	Non-Drinker	2	2	1	9	4	5	       0.0738220	      -3.8267784	      -3.5826424	       0.3293234	      -3.7463787
All	Women	Non-Drinker	3	1	0	9	2	7	       0.0377453	      -4.9858479	      -4.9858479	       0.0000000	      -4.9858479
All	Women	Non-Drinker	3	2	1	9	4	5	       0.0308896	      -4.6980161	      -4.4538801	       0.1816296	      -4.6536738
All	Women	Non-Drinker	4	1	0	9	2	7	       0.0627570	      -4.4774383	      -4.4774383	       0.0000000	      -4.4774383
All	Women	Non-Drinker	4	2	1	9	4	5	       0.0393612	      -4.4556544	      -4.2115183	       0.3727990	      -4.3646407
All	Women	Non-Drinker	5	1	0	9	2	7	       0.0359872	      -5.0335446	      -5.0335446	       0.0000000	      -5.0335446
All	Women	Non-Drinker	5	2	1	9	4	5	       0.0335002	      -4.6168846	      -4.3727485	       0.0691081	      -4.6000128
All	Men	Obese	1	1	0	19	2	17	       0.3306543	      -3.7411800	      -3.7411800	       0.0000000	      -3.7411800
All	Men	Obese	1	2	1	19	4	15	       0.1704945	      -4.0936095	      -3.9386390	       0.4843724	      -4.0185461
All	Men	Obese	1	3	2	19	6	13	       0.1511410	      -3.9041579	      -3.5942170	       0.4750183	      -3.7569303
All	Men	Obese	1	4	3	19	8	11	       0.1501257	      -3.6009575	      -3.1360461	       0.3946826	      -3.4174651
All	Men	Obese	2	1	0	19	2	17	       0.1683320	      -4.4163151	      -4.4163151	       0.0000000	      -4.4163151
All	Men	Obese	2	2	1	19	4	15	       0.0548721	      -5.2273068	      -5.0723363	       0.6740244	      -5.1228529
All	Men	Obese	2	3	2	19	6	13	       0.0491068	      -5.0283737	      -4.7184328	       0.7554963	      -4.7942145
All	Men	Obese	2	4	3	19	8	11	       0.0334250	      -5.1031272	      -4.6382157	       0.8161790	      -4.7236762
All	Men	Obese	3	1	0	19	2	17	       0.1230434	      -4.7297164	      -4.7297164	       0.0000000	      -4.7297164
All	Men	Obese	3	2	1	19	4	15	       0.0805996	      -4.8428191	      -4.6878486	       0.3449499	      -4.7893620
All	Men	Obese	3	3	2	19	6	13	       0.0706726	      -4.6643131	      -4.3543722	       0.2162669	      -4.5972831
All	Men	Obese	3	4	3	19	8	11	       0.0622926	      -4.4805878	      -4.0156764	       0.3526692	      -4.3166279
All	Men	Obese	4	1	0	19	2	17	       0.1187092	      -4.7655766	      -4.7655766	       0.0000000	      -4.7655766
All	Men	Obese	4	2	1	19	4	15	       0.1012709	      -4.6145130	      -4.4595426	       0.1468991	      -4.5917480
All	Men	Obese	4	3	2	19	6	13	       0.0661971	      -4.7297350	      -4.4197941	       0.7204151	      -4.5064489
All	Men	Obese	4	4	3	19	8	11	       0.0628573	      -4.4715629	      -4.0066515	       0.7204151	      -4.1366337
